show_id,director_id
s801,525
s802,526
s803,527
s804,528
s805,529
s807,530
s808,530
s809,514
s810,531
s811,412
s812,532
s813,533
s815,534
s816,535
s817,536
s818,537
s819,538
s820,248
s822,539
s823,540
s824,541
s825,542
s827,543
s828,544
s829,545
s830,546
s832,547
s832,548
s833,549
s835,550
s837,551
s839,552
s840,457
s841,553
s842,554
s845,555
s846,556
s847,557
s851,558
s854,559
s857,560
s859,561
s860,562
s861,563
s862,51
s864,564
s865,149
s866,565
s867,566
s867,567
s868,568
s871,569
s872,570
s873,571
s874,572
s876,573
s878,574
s879,575
s880,576
s882,577
s883,578
s886,579
s887,580
s888,581
s890,582
s892,583
s893,584
s894,585
s895,586
s896,587
s898,588
s899,589
s900,590
s902,591
s904,592
s905,593
s906,594
s907,595
s908,596
s910,597
s911,598
s912,599
s914,600
s915,601
s916,602
s917,603
s918,604
s918,605
s920,606
s923,607
s925,608
s927,609
s929,610
s930,611
s931,531
s932,612
s933,613
s934,84
s935,614
s936,615
s936,616
s936,617
s938,618
s939,618
s940,618
s941,618
s942,618
s943,248
s944,619
s945,620
s946,621
s947,622
s948,623
s949,624
s950,625
s951,626
s952,627
s953,628
s954,629
s955,630
s955,631
s956,632
s957,633
s959,177
s960,634
s961,635
s962,636
s962,637
s963,638
s965,639
s965,640
s967,641
s970,642
s971,643
s972,644
s974,645
s975,646
s977,647
s978,648
s979,649
s980,650
s980,651
s981,650
s982,652
s983,653
s984,654
s985,655
s986,656
s987,656
s988,657
s989,658
s990,659
s991,649
s992,660
s993,661
s993,662
s995,207
s996,595
s996,652
s997,663
s1000,664
s1001,665
s1002,666
s1003,667
s1007,618
s1008,618
s1009,618
s1010,668
s1010,669
s1014,670
s1016,671
s1017,672
s1018,673
s1019,674
s1020,675
s1021,676
s1022,677
s1022,678
s1023,679
s1024,680
s1024,681
s1024,682
s1024,683
s1025,684
s1027,685
s1028,686
s1030,687
s1031,573
s1032,688
s1034,689
s1035,690
s1035,691
s1036,692
s1037,693
s1037,694
s1038,695
s1040,696
s1042,697
s1042,698
s1043,699
s1047,700
s1051,701
s1053,240
s1054,702
s1055,585
s1056,703
s1067,704
s1068,705
s1070,706
s1071,707
s1072,618
s1073,618
s1074,618
s1075,618
s1076,708
s1076,709
s1076,710
s1076,711
s1076,712
s1076,713
s1076,714
s1077,618
s1078,618
s1079,618
s1081,715
s1084,716
s1086,717
s1087,718
s1088,355
s1089,719
s1090,720
s1090,721
s1091,722
s1097,723
s1098,724
s1099,725
s1100,726
s1101,727
s1102,728
s1103,729
s1104,730
s1105,191
s1106,731
s1107,732
s1107,733
s1108,734
s1109,735
s1110,736
s1110,737
s1111,738
s1112,739
s1113,740
s1114,622
s1115,741
s1116,742
s1118,743
s1119,744
s1120,745
s1121,746
s1122,23
s1123,747
s1125,748
s1127,749
s1129,750
s1131,530
s1132,530
s1133,530
s1134,514
s1135,751
s1135,752
s1136,753
s1137,754
s1137,755
s1138,756
s1139,757
s1140,758
s1141,759
s1142,199
s1143,760
s1145,761
s1146,762
s1147,763
s1148,764
s1151,765
s1152,766
s1154,767
s1155,768
s1156,769
s1157,770
s1160,771
s1161,772
s1163,773
s1165,774
s1166,775
s1168,776
s1171,777
s1172,778
s1173,779
s1174,780
s1176,413
s1177,781
s1178,782
s1179,783
s1184,784
s1185,785
s1186,786
s1188,787
s1189,788
s1190,789
s1191,790
s1192,791
s1192,792
s1193,793
s1194,585
s1195,794
s1196,795
s1197,796
s1198,797
s1199,798
s1200,799
s1203,800
s1204,30
s1205,801
s1208,802
s1209,803
s1210,804
s1212,805
s1213,806
s1215,807
s1216,808
s1217,809
s1219,810
s1220,811
s1221,812
s1222,813
s1223,814
s1223,815
s1224,816
s1224,817
s1229,818
s1231,819
s1233,820
s1234,207
s1235,821
s1237,2
s1238,822
s1240,823
s1241,84
s1242,824
s1243,825
s1243,826
s1244,827
s1245,828
s1247,829
s1248,530
s1249,830
s1250,831
s1250,832
s1251,833
s1252,834
s1253,835
s1254,836
s1254,837
s1255,343
s1256,530
s1257,838
s1259,839
s1259,840
s1260,841
s1261,842
s1262,843
s1264,844
s1265,845
s1266,846
s1267,843
s1268,593
s1270,847
s1274,848
s1277,849
s1279,789
s1280,850
s1281,851
s1281,852
s1282,853
s1284,744
s1285,744
s1287,854
s1289,311
s1290,855
s1291,856
s1292,857
s1293,858
s1294,859
s1294,860
s1294,861
s1294,862
s1296,863
s1298,864
s1304,475
s1305,50
s1306,865
s1308,866
s1310,867
s1312,868
s1313,869
s1316,870
s1317,871
s1319,872
s1320,873
s1323,874
s1324,875
s1325,876
s1326,877
s1327,878
s1328,876
s1329,473
s1330,879
s1331,880
s1334,531
s1335,881
s1337,882
s1338,883
s1341,884
s1342,885
s1343,886
s1344,887
s1345,888
s1346,889
s1347,890
s1348,891
s1352,892
s1354,21
s1358,893
s1359,894
s1360,160
s1361,895
s1365,896
s1367,897
s1368,898
s1369,899
s1370,900
s1371,901
s1373,902
s1375,903
s1377,904
s1379,905
s1380,906
s1382,907
s1383,908
s1387,909
s1388,910
s1389,911
s1390,912
s1391,913
s1392,914
s1394,915
s1397,916
s1398,917
s1399,918
s1400,919
s1400,920
s1404,921
s1406,922
s1407,615
s1407,923
s1408,924
s1410,925
s1411,926
s1412,927
s1413,928
s1414,754
s1415,929
s1415,930
s1416,931
s1417,932
s1418,933
s1419,934
s1420,935
s1421,936
s1422,937
s1422,938
s1423,939
s1424,940
s1425,941
s1427,939
s1429,942
s1433,943
s1434,944
s1435,945
s1435,946
s1436,947
s1437,948
s1437,949
s1439,950
s1442,951
s1445,400
s1446,952
s1447,953
s1448,954
s1451,955
s1452,956
s1453,957
s1454,958
s1455,959
s1457,960
s1459,961
s1460,962
s1462,963
s1464,964
s1465,965
s1465,966
s1468,967
s1469,968
s1470,84
s1471,969
s1473,970
s1475,971
s1476,972
s1480,973
s1482,974
s1485,975
s1485,976
s1486,977
s1487,978
s1487,979
s1489,980
s1491,981
s1492,982
s1494,983
s1495,564
s1496,984
s1497,985
s1498,986
s1499,987
s1499,988
s1500,989
s1501,990
s1502,627
s1503,991
s1505,992
s1505,993
s1508,994
s1510,995
s1511,996
s1512,997
s1513,998
s1514,999
s1516,1000
s1518,1001
s1520,1002
s1521,1003
s1521,1004
s1521,206
s1521,1005
s1522,1002
s1523,1002
s1524,1006
s1525,1007
s1526,1008
s1527,458
s1530,80
s1531,1009
s1532,1010
s1533,1011
s1533,1012
s1534,1013
